country,date_month_string,positive_per_country,neutral_per_country,negative_per_country,positive_rate_per_country,neutral_rate_per_country,negative_rate_per_country,date_month_number,positive_globally,neutral_globally,negative_globally,positive_rate_globally,neutral_rate_globally,negative_rate_globally
Brazil,2021-06,4,1,5,0.4,0.1,0.5,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Brazil,2021-07,1,3,3,0.14285714285714285,0.42857142857142855,0.42857142857142855,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Brazil,2021-08,0,1,0,0,1,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Brazil,2021-09,0,1,2,0,0.3333333333333333,0.6666666666666666,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Brazil,2021-11,0,1,0,0,1,0,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Bulgaria,2020-12,1,0,0,1,0,0,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Bulgaria,2021-02,1,31,1,0.030303030303030304,0.9393939393939394,0.030303030303030304,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Bulgaria,2021-03,1,3,0,0.25,0.75,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Bulgaria,2021-04,1,3,2,0.16666666666666666,0.5,0.3333333333333333,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Bulgaria,2021-05,3,2,0,0.6,0.4,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Bulgaria,2021-06,1,0,1,0.5,0,0.5,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Bulgaria,2021-07,0,1,0,0,1,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Bulgaria,2021-09,0,2,0,0,1,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Bulgaria,2021-10,0,1,0,0,1,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Bulgaria,2021-11,1,0,0,1,0,0,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Burkina Faso,2021-03,0,1,0,0,1,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Burkina Faso,2021-10,1,0,0,1,0,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Burundi,2021-10,0,1,0,0,1,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Cambodia,2021-02,4,3,3,0.4,0.3,0.3,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Cambodia,2021-03,7,28,2,0.1891891891891892,0.7567567567567568,0.05405405405405406,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Cambodia,2021-04,3,14,0,0.17647058823529413,0.8235294117647058,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Cambodia,2021-05,3,4,1,0.375,0.5,0.125,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Cambodia,2021-06,3,7,2,0.25,0.5833333333333334,0.16666666666666666,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Cambodia,2021-07,3,2,1,0.5,0.3333333333333333,0.16666666666666666,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Cambodia,2021-08,1,10,0,0.09090909090909091,0.9090909090909091,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Cambodia,2021-09,1,4,0,0.2,0.8,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Cambodia,2021-10,0,3,0,0,1,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Cambodia,2021-11,1,0,1,0.5,0,0.5,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Cameroon,2021-03,1,0,0,1,0,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Cameroon,2021-04,1,4,0,0.2,0.8,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Cameroon,2021-09,1,0,0,1,0,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Cameroon,2021-10,0,0,1,0,0,1,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Canada,2020-12,16,8,2,0.6153846153846154,0.3076923076923077,0.07692307692307693,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Canada,2021-01,31,15,25,0.43661971830985913,0.2112676056338028,0.352112676056338,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Canada,2021-02,70,68,82,0.3181818181818182,0.3090909090909091,0.37272727272727274,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Canada,2021-03,102,347,437,0.11512415349887133,0.39164785553047404,0.4932279909706546,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Canada,2021-04,174,254,852,0.1359375,0.1984375,0.665625,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Canada,2021-05,108,80,181,0.2926829268292683,0.21680216802168023,0.4905149051490515,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Canada,2021-06,278,250,170,0.3982808022922636,0.35816618911174786,0.24355300859598855,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Canada,2021-07,95,115,73,0.33568904593639576,0.40636042402826855,0.2579505300353357,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Canada,2021-08,85,179,126,0.21794871794871795,0.45897435897435895,0.3230769230769231,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Canada,2021-09,47,34,77,0.2974683544303797,0.21518987341772153,0.4873417721518987,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Canada,2021-10,29,34,32,0.30526315789473685,0.35789473684210527,0.3368421052631579,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Canada,2021-11,19,20,12,0.37254901960784315,0.39215686274509803,0.23529411764705882,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Cayman Islands,2021-02,1,0,0,1,0,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Central African Republic,2021-07,5,0,0,1,0,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Chile,2020-12,1,3,1,0.2,0.6,0.2,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Chile,2021-01,0,1,1,0,0.5,0.5,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Chile,2021-02,2,5,0,0.2857142857142857,0.7142857142857143,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Chile,2021-03,2,2,6,0.2,0.2,0.6,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Chile,2021-04,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Chile,2021-05,3,1,0,0.75,0.25,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Chile,2021-06,2,2,0,0.5,0.5,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Chile,2021-07,8,5,0,0.6153846153846154,0.38461538461538464,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Chile,2021-08,3,2,0,0.6,0.4,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Chile,2021-10,0,1,1,0,0.5,0.5,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
China,2020-12,1,0,1,0.5,0,0.5,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
China,2021-02,66,116,8,0.3473684210526316,0.6105263157894737,0.042105263157894736,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
China,2021-03,64,185,7,0.25,0.72265625,0.02734375,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
China,2021-04,47,65,12,0.3790322580645161,0.5241935483870968,0.0967741935483871,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
China,2021-05,24,35,3,0.3870967741935484,0.5645161290322581,0.04838709677419355,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
China,2021-06,73,78,16,0.437125748502994,0.46706586826347307,0.09580838323353294,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
China,2021-07,60,71,10,0.425531914893617,0.5035460992907801,0.07092198581560284,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
China,2021-08,54,70,19,0.3776223776223776,0.48951048951048953,0.13286713286713286,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
China,2021-09,31,48,1,0.3875,0.6,0.0125,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
China,2021-10,25,31,3,0.423728813559322,0.5254237288135594,0.05084745762711865,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
China,2021-11,18,36,3,0.3157894736842105,0.631578947368421,0.05263157894736842,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Colombia,2021-03,2,0,0,1,0,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Colombia,2021-04,1,3,0,0.25,0.75,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Colombia,2021-06,0,2,0,0,1,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Colombia,2021-07,0,3,1,0,0.75,0.25,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Colombia,2021-08,10,3,3,0.625,0.1875,0.1875,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Colombia,2021-10,2,1,1,0.5,0.25,0.25,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Congo,2021-04,1,0,1,0.5,0,0.5,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Congo,2021-07,2,1,0,0.6666666666666666,0.3333333333333333,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Congo,2021-09,0,1,0,0,1,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Costa Rica,2021-08,0,2,0,0,1,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Croatia,2020-12,1,0,0,1,0,0,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Croatia,2021-02,1,1,0,0.5,0.5,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
