country,date_month_string,positive_per_country,neutral_per_country,negative_per_country,positive_rate_per_country,neutral_rate_per_country,negative_rate_per_country,date_month_number,positive_globally,neutral_globally,negative_globally,positive_rate_globally,neutral_rate_globally,negative_rate_globally
Afghanistan,2020-12,1,0,0,1,0,0,1,325,281,115,0.4507628294036061,0.3897364771151179,0.15950069348127602
Afghanistan,2021-02,1,2,0,0.3333333333333333,0.6666666666666666,0,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Afghanistan,2021-03,3,1,0,0.75,0.25,0,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Afghanistan,2021-04,1,0,0,1,0,0,5,4177,3749,2636,0.3954743419806855,0.3549517136905889,0.24957394432872562
Afghanistan,2021-05,1,1,0,0.5,0.5,0,6,2542,2787,1160,0.3917398674680228,0.4294960702727693,0.17876406225920788
Afghanistan,2021-06,0,2,0,0,1,0,7,3770,3637,1675,0.4151068046685752,0.40046245320414003,0.18443074212728475
Afghanistan,2021-09,2,0,0,1,0,0,10,1864,1874,755,0.41486757177832184,0.4170932561762742,0.16803917204540397
Afghanistan,2021-11,0,0,1,0,0,1,12,1598,894,670,0.5053763440860215,0.2827324478178368,0.21189120809614168
Albania,2021-01,0,1,0,0,1,0,2,440,293,226,0.45881126173096975,0.30552659019812306,0.23566214807090718
Albania,2021-02,1,0,0,1,0,0,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Albania,2021-03,5,8,1,0.35714285714285715,0.5714285714285714,0.07142857142857142,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Albania,2021-04,1,3,2,0.16666666666666666,0.5,0.3333333333333333,5,4177,3749,2636,0.3954743419806855,0.3549517136905889,0.24957394432872562
Albania,2021-05,0,0,1,0,0,1,6,2542,2787,1160,0.3917398674680228,0.4294960702727693,0.17876406225920788
Albania,2021-06,3,1,1,0.6,0.2,0.2,7,3770,3637,1675,0.4151068046685752,0.40046245320414003,0.18443074212728475
Albania,2021-08,0,0,1,0,0,1,9,3054,3312,1781,0.3748619123603781,0.4065300110470112,0.21860807659261078
Albania,2021-09,1,1,0,0.5,0.5,0,10,1864,1874,755,0.41486757177832184,0.4170932561762742,0.16803917204540397
Algeria,2021-02,0,2,1,0,0.6666666666666666,0.3333333333333333,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Algeria,2021-03,0,1,0,0,1,0,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Algeria,2021-04,1,0,0,1,0,0,5,4177,3749,2636,0.3954743419806855,0.3549517136905889,0.24957394432872562
Algeria,2021-05,1,0,0,1,0,0,6,2542,2787,1160,0.3917398674680228,0.4294960702727693,0.17876406225920788
Algeria,2021-07,0,1,0,0,1,0,8,1886,2835,790,0.3422246416258392,0.5144256940664126,0.14334966430774815
Algeria,2021-10,0,1,0,0,1,0,11,2288,1564,797,0.49214884921488494,0.33641643364164336,0.17143471714347172
Andorra,2021-06,0,1,1,0,0.5,0.5,7,3770,3637,1675,0.4151068046685752,0.40046245320414003,0.18443074212728475
Andorra,2021-07,1,0,0,1,0,0,8,1886,2835,790,0.3422246416258392,0.5144256940664126,0.14334966430774815
Angola,2021-08,2,0,0,1,0,0,9,3054,3312,1781,0.3748619123603781,0.4065300110470112,0.21860807659261078
Antarctica,2021-01,1,0,0,1,0,0,2,440,293,226,0.45881126173096975,0.30552659019812306,0.23566214807090718
Antarctica,2021-02,1,1,0,0.5,0.5,0,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Antarctica,2021-03,1,0,1,0.5,0,0.5,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Antarctica,2021-05,2,1,1,0.5,0.25,0.25,6,2542,2787,1160,0.3917398674680228,0.4294960702727693,0.17876406225920788
Antarctica,2021-06,2,1,0,0.6666666666666666,0.3333333333333333,0,7,3770,3637,1675,0.4151068046685752,0.40046245320414003,0.18443074212728475
Antarctica,2021-08,1,10,22,0.030303030303030304,0.30303030303030304,0.6666666666666666,9,3054,3312,1781,0.3748619123603781,0.4065300110470112,0.21860807659261078
Antarctica,2021-09,1,0,5,0.16666666666666666,0,0.8333333333333334,10,1864,1874,755,0.41486757177832184,0.4170932561762742,0.16803917204540397
Antarctica,2021-10,1,1,0,0.5,0.5,0,11,2288,1564,797,0.49214884921488494,0.33641643364164336,0.17143471714347172
Argentina,2020-12,0,2,0,0,1,0,1,325,281,115,0.4507628294036061,0.3897364771151179,0.15950069348127602
Argentina,2021-02,0,0,1,0,0,1,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Argentina,2021-03,2,4,2,0.25,0.5,0.25,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Argentina,2021-04,6,2,0,0.75,0.25,0,5,4177,3749,2636,0.3954743419806855,0.3549517136905889,0.24957394432872562
Argentina,2021-05,3,2,0,0.6,0.4,0,6,2542,2787,1160,0.3917398674680228,0.4294960702727693,0.17876406225920788
Argentina,2021-06,5,3,2,0.5,0.3,0.2,7,3770,3637,1675,0.4151068046685752,0.40046245320414003,0.18443074212728475
Argentina,2021-07,4,2,3,0.4444444444444444,0.2222222222222222,0.3333333333333333,8,1886,2835,790,0.3422246416258392,0.5144256940664126,0.14334966430774815
Argentina,2021-08,4,5,2,0.36363636363636365,0.45454545454545453,0.18181818181818182,9,3054,3312,1781,0.3748619123603781,0.4065300110470112,0.21860807659261078
Argentina,2021-09,16,1,4,0.7619047619047619,0.047619047619047616,0.19047619047619047,10,1864,1874,755,0.41486757177832184,0.4170932561762742,0.16803917204540397
Argentina,2021-10,27,5,6,0.7105263157894737,0.13157894736842105,0.15789473684210525,11,2288,1564,797,0.49214884921488494,0.33641643364164336,0.17143471714347172
Argentina,2021-11,31,1,8,0.775,0.025,0.2,12,1598,894,670,0.5053763440860215,0.2827324478178368,0.21189120809614168
Armenia,2021-02,0,4,0,0,1,0,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Armenia,2021-03,1,2,1,0.25,0.5,0.25,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Armenia,2021-04,1,8,1,0.1,0.8,0.1,5,4177,3749,2636,0.3954743419806855,0.3549517136905889,0.24957394432872562
Armenia,2021-07,1,5,0,0.16666666666666666,0.8333333333333334,0,8,1886,2835,790,0.3422246416258392,0.5144256940664126,0.14334966430774815
Armenia,2021-08,1,2,0,0.3333333333333333,0.6666666666666666,0,9,3054,3312,1781,0.3748619123603781,0.4065300110470112,0.21860807659261078
Armenia,2021-09,1,3,0,0.25,0.75,0,10,1864,1874,755,0.41486757177832184,0.4170932561762742,0.16803917204540397
Armenia,2021-10,3,10,0,0.23076923076923078,0.7692307692307693,0,11,2288,1564,797,0.49214884921488494,0.33641643364164336,0.17143471714347172
Armenia,2021-11,0,3,0,0,1,0,12,1598,894,670,0.5053763440860215,0.2827324478178368,0.21189120809614168
Australia,2020-12,4,3,0,0.5714285714285714,0.42857142857142855,0,1,325,281,115,0.4507628294036061,0.3897364771151179,0.15950069348127602
Australia,2021-01,3,5,8,0.1875,0.3125,0.5,2,440,293,226,0.45881126173096975,0.30552659019812306,0.23566214807090718
Australia,2021-02,10,9,7,0.38461538461538464,0.34615384615384615,0.2692307692307692,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Australia,2021-03,21,16,13,0.42,0.32,0.26,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Australia,2021-04,21,17,12,0.42,0.34,0.24,5,4177,3749,2636,0.3954743419806855,0.3549517136905889,0.24957394432872562
Australia,2021-05,17,9,10,0.4722222222222222,0.25,0.2777777777777778,6,2542,2787,1160,0.3917398674680228,0.4294960702727693,0.17876406225920788
Australia,2021-06,19,20,17,0.3392857142857143,0.35714285714285715,0.30357142857142855,7,3770,3637,1675,0.4151068046685752,0.40046245320414003,0.18443074212728475
Australia,2021-07,24,19,13,0.42857142857142855,0.3392857142857143,0.23214285714285715,8,1886,2835,790,0.3422246416258392,0.5144256940664126,0.14334966430774815
Australia,2021-08,63,45,45,0.4117647058823529,0.29411764705882354,0.29411764705882354,9,3054,3312,1781,0.3748619123603781,0.4065300110470112,0.21860807659261078
Australia,2021-09,35,38,27,0.35,0.38,0.27,10,1864,1874,755,0.41486757177832184,0.4170932561762742,0.16803917204540397
Australia,2021-10,50,36,25,0.45045045045045046,0.32432432432432434,0.22522522522522523,11,2288,1564,797,0.49214884921488494,0.33641643364164336,0.17143471714347172
Australia,2021-11,11,23,18,0.21153846153846154,0.4423076923076923,0.34615384615384615,12,1598,894,670,0.5053763440860215,0.2827324478178368,0.21189120809614168
Austria,2020-12,2,0,0,1,0,0,1,325,281,115,0.4507628294036061,0.3897364771151179,0.15950069348127602
Austria,2021-01,2,2,1,0.4,0.4,0.2,2,440,293,226,0.45881126173096975,0.30552659019812306,0.23566214807090718
Austria,2021-02,2,14,2,0.1111111111111111,0.7777777777777778,0.1111111111111111,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Austria,2021-03,16,17,6,0.41025641025641024,0.4358974358974359,0.15384615384615385,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Austria,2021-04,8,15,4,0.2962962962962963,0.5555555555555556,0.14814814814814814,5,4177,3749,2636,0.3954743419806855,0.3549517136905889,0.24957394432872562
Austria,2021-05,2,0,1,0.6666666666666666,0,0.3333333333333333,6,2542,2787,1160,0.3917398674680228,0.4294960702727693,0.17876406225920788
Austria,2021-06,7,2,1,0.7,0.2,0.1,7,3770,3637,1675,0.4151068046685752,0.40046245320414003,0.18443074212728475
Austria,2021-07,0,3,0,0,1,0,8,1886,2835,790,0.3422246416258392,0.5144256940664126,0.14334966430774815
Austria,2021-08,3,2,2,0.42857142857142855,0.2857142857142857,0.2857142857142857,9,3054,3312,1781,0.3748619123603781,0.4065300110470112,0.21860807659261078
Austria,2021-09,2,1,0,0.6666666666666666,0.3333333333333333,0,10,1864,1874,755,0.41486757177832184,0.4170932561762742,0.16803917204540397
Austria,2021-10,2,0,0,1,0,0,11,2288,1564,797,0.49214884921488494,0.33641643364164336,0.17143471714347172
Austria,2021-11,2,1,1,0.5,0.25,0.25,12,1598,894,670,0.5053763440860215,0.2827324478178368,0.21189120809614168
Azerbaijan,2021-01,1,0,0,1,0,0,2,440,293,226,0.45881126173096975,0.30552659019812306,0.23566214807090718
Azerbaijan,2021-02,1,0,0,1,0,0,3,1569,1493,718,0.4150793650793651,0.394973544973545,0.18994708994708995
Azerbaijan,2021-03,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285,4,4090,4211,1978,0.3978986282712326,0.4096702013814573,0.19243117034731005
Azerbaijan,2021-04,0,6,0,0,1,0,5,4177,3749,2636,0.3954743419806855,0.3549517136905889,0.24957394432872562
Azerbaijan,2021-05,0,3,0,0,1,0,6,2542,2787,1160,0.3917398674680228,0.4294960702727693,0.17876406225920788
Azerbaijan,2021-06,3,2,0,0.6,0.4,0,7,3770,3637,1675,0.4151068046685752,0.40046245320414003,0.18443074212728475
Azerbaijan,2021-07,0,6,1,0,0.8571428571428571,0.14285714285714285,8,1886,2835,790,0.3422246416258392,0.5144256940664126,0.14334966430774815
Azerbaijan,2021-08,2,1,2,0.4,0.2,0.4,9,3054,3312,1781,0.3748619123603781,0.4065300110470112,0.21860807659261078
