country,date_month_string,monthly_vaccinations_per_country,monthly_vaccinations_per_million_per_country,date_month_number,monthly_vaccinations_globally
Austria,2021-09,424412,46932,10,969014866
Austria,2021-10,593413,65622,11,805830936
Austria,2021-11,1080312,119460,12,582593278
Azerbaijan,2021-01,45500,4452,2,93138028
Azerbaijan,2021-02,217899,21311,3,170467452
Azerbaijan,2021-03,379664,37143,4,340529467
Azerbaijan,2021-04,811774,79405,5,533501731
Azerbaijan,2021-05,707417,69198,6,792994644
Azerbaijan,2021-06,1174588,114892,7,1136984197
Azerbaijan,2021-07,1405884,137513,8,1060429251
Azerbaijan,2021-08,1841591,180135,9,1201442306
Azerbaijan,2021-09,1808388,176888,10,969014866
Azerbaijan,2021-10,1137573,111272,11,805830936
Azerbaijan,2021-11,648885,63472,12,582593278
Bahamas,2021-03,7038,17731,4,340529467
Bahamas,2021-04,19378,48821,5,533501731
Bahamas,2021-05,28655,72196,6,792994644
Bahamas,2021-06,36899,92964,7,1136984197
Bahamas,2021-07,12860,32400,8,1060429251
Bahamas,2021-08,41652,104938,9,1201442306
Bahamas,2021-09,48429,122013,10,969014866
Bahamas,2021-10,58944,148506,11,805830936
Bahamas,2021-11,18807,47382,12,582593278
Bahrain,2020-12,34657,19824,1,8698776
Bahrain,2021-01,166495,95232,2,93138028
Bahrain,2021-02,215936,123508,3,170467452
Bahrain,2021-03,299172,171123,4,340529467
Bahrain,2021-04,467272,267271,5,533501731
Bahrain,2021-05,469479,268535,6,792994644
Bahrain,2021-06,383950,219613,7,1136984197
Bahrain,2021-07,231478,132398,8,1060429251
Bahrain,2021-08,189211,108229,9,1201442306
Bahrain,2021-09,90888,51986,10,969014866
Bahrain,2021-10,190527,108979,11,805830936
Bahrain,2021-11,80708,46164,12,582593278
Bangladesh,2021-01,5139,31,2,93138028
Bangladesh,2021-02,2759688,16593,3,170467452
Bangladesh,2021-03,2503853,15055,4,340529467
Bangladesh,2021-04,3103484,18661,5,533501731
Bangladesh,2021-05,1579134,9493,6,792994644
Bangladesh,2021-06,150076,899,7,1136984197
Bangladesh,2021-07,1035171,6224,8,1060429251
Bangladesh,2021-08,14205449,85418,9,1201442306
Bangladesh,2021-09,17359979,104386,10,969014866
Bangladesh,2021-10,22991407,138250,11,805830936
Bangladesh,2021-11,19333823,116256,12,582593278
Barbados,2021-02,31656,110027,3,170467452
Barbados,2021-03,34295,119201,4,340529467
Barbados,2021-04,10136,35231,5,533501731
Barbados,2021-05,63309,220046,6,792994644
Barbados,2021-06,27596,95918,7,1136984197
Barbados,2021-07,10022,34832,8,1060429251
Barbados,2021-08,27181,94475,9,1201442306
Barbados,2021-09,35019,121715,10,969014866
Barbados,2021-10,36188,125778,11,805830936
Barbados,2021-11,11329,39376,12,582593278
Belarus,2020-12,1209,129,1,8698776
Belarus,2021-01,12493,1333,2,93138028
Belarus,2021-02,11646,1238,3,170467452
Belarus,2021-03,50013,5296,4,340529467
Belarus,2021-04,289082,30612,5,533501731
Belarus,2021-05,409940,43413,6,792994644
Belarus,2021-06,668362,70776,7,1136984197
Belarus,2021-07,832811,88188,8,1060429251
Belarus,2021-08,669954,70948,9,1201442306
Belarus,2021-09,717179,75949,10,969014866
Belarus,2021-10,1288557,136459,11,805830936
Belarus,2021-11,617014,65338,12,582593278
Belgium,2020-12,504,44,1,8698776
Belgium,2021-01,309962,26647,2,93138028
Belgium,2021-02,517962,44528,3,170467452
Belgium,2021-03,1040932,89486,4,340529467
Belgium,2021-04,1859478,159855,5,533501731
Belgium,2021-05,2889453,248399,6,792994644
Belgium,2021-06,4104570,352860,7,1136984197
Belgium,2021-07,3561985,306213,8,1060429251
Belgium,2021-08,1881348,161735,9,1201442306
Belgium,2021-09,458356,39402,10,969014866
Belgium,2021-10,260634,22407,11,805830936
Belgium,2021-11,118568,10193,12,582593278
Belize,2021-03,21585,53308,4,340529467
Belize,2021-04,20367,50299,5,533501731
Belize,2021-05,33272,82168,6,792994644
Belize,2021-06,37904,93612,7,1136984197
Belize,2021-07,64980,160481,8,1060429251
Belize,2021-08,56059,138446,9,1201442306
Belize,2021-09,80482,198762,10,969014866
Belize,2021-10,68386,168885,11,805830936
Belize,2021-11,13021,32158,12,582593278
Benin,2021-05,8327,668,6,792994644
Benin,2021-06,26658,2137,7,1136984197
Benin,2021-07,17949,1445,8,1060429251
Benin,2021-08,65304,5244,9,1201442306
Benin,2021-09,80871,6497,10,969014866
Benin,2021-10,72850,5853,11,805830936
Benin,2021-11,46909,3768,12,582593278
Bermuda,2021-01,5216,84004,2,93138028
Bermuda,2021-02,14818,238645,3,170467452
Bermuda,2021-03,18885,304147,4,340529467
Bermuda,2021-04,18148,292277,5,533501731
Bermuda,2021-05,13901,223876,6,792994644
Bermuda,2021-06,9454,152257,7,1136984197
Bermuda,2021-07,3161,50910,8,1060429251
Bermuda,2021-08,2092,33693,9,1201442306
Bermuda,2021-09,2066,33273,10,969014866
Bermuda,2021-10,5623,90561,11,805830936
Bermuda,2021-11,5136,82716,12,582593278
