country,date_month_string,positive_per_country,neutral_per_country,negative_per_country,positive_rate_per_country,neutral_rate_per_country,negative_rate_per_country,date_month_number,positive_globally,neutral_globally,negative_globally,positive_rate_globally,neutral_rate_globally,negative_rate_globally
Equatorial Guinea,2021-03,0,1,0,0,1,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Eritrea,2021-08,0,1,0,0,1,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Estonia,2021-02,0,0,1,0,0,1,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Estonia,2021-03,1,1,0,0.5,0.5,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Estonia,2021-04,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Estonia,2021-06,1,0,0,1,0,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Estonia,2021-08,0,0,1,0,0,1,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Estonia,2021-09,0,1,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Estonia,2021-11,1,0,0,1,0,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Ethiopia,2021-01,0,0,1,0,0,1,2,191,678,90,0.1991657977059437,0.7069864442127216,0.09384775808133472
Ethiopia,2021-02,1,4,0,0.2,0.8,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Ethiopia,2021-03,0,2,0,0,1,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Ethiopia,2021-04,3,3,0,0.5,0.5,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Ethiopia,2021-08,0,2,0,0,1,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Ethiopia,2021-10,0,2,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Fiji,2021-02,0,1,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Fiji,2021-06,0,3,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Fiji,2021-07,4,7,0,0.36363636363636365,0.6363636363636364,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Fiji,2021-08,1,1,0,0.5,0.5,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Fiji,2021-09,0,9,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Fiji,2021-10,0,3,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Fiji,2021-11,1,2,0,0.3333333333333333,0.6666666666666666,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Finland,2021-02,1,0,0,1,0,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Finland,2021-03,2,10,0,0.16666666666666666,0.8333333333333334,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Finland,2021-04,1,4,0,0.2,0.8,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Finland,2021-05,0,4,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Finland,2021-06,0,8,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Finland,2021-07,1,5,0,0.16666666666666666,0.8333333333333334,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Finland,2021-08,2,7,0,0.2222222222222222,0.7777777777777778,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Finland,2021-09,1,1,0,0.5,0.5,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Finland,2021-10,2,5,0,0.2857142857142857,0.7142857142857143,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Finland,2021-11,0,3,0,0,1,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
France,2020-12,2,15,1,0.1111111111111111,0.8333333333333334,0.05555555555555555,1,136,547,38,0.18862690707350901,0.7586685159500693,0.052704576976421634
France,2021-01,1,14,3,0.05555555555555555,0.7777777777777778,0.16666666666666666,2,191,678,90,0.1991657977059437,0.7069864442127216,0.09384775808133472
France,2021-02,10,45,3,0.1724137931034483,0.7758620689655172,0.05172413793103448,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
France,2021-03,9,67,4,0.1125,0.8375,0.05,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
France,2021-04,9,61,0,0.12857142857142856,0.8714285714285714,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
France,2021-05,13,37,1,0.2549019607843137,0.7254901960784313,0.0196078431372549,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
France,2021-06,10,42,3,0.18181818181818182,0.7636363636363637,0.05454545454545454,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
France,2021-07,4,21,1,0.15384615384615385,0.8076923076923077,0.038461538461538464,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
France,2021-08,7,36,2,0.15555555555555556,0.8,0.044444444444444446,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
France,2021-09,1,17,0,0.05555555555555555,0.9444444444444444,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
France,2021-10,5,14,1,0.25,0.7,0.05,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
France,2021-11,2,14,2,0.1111111111111111,0.7777777777777778,0.1111111111111111,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Gabon,2021-02,1,0,0,1,0,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Gabon,2021-06,1,0,0,1,0,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Gambia,2021-03,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Gambia,2021-06,0,2,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Gambia,2021-07,0,3,0,0,1,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Gambia,2021-08,0,1,0,0,1,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Germany,2020-12,4,5,1,0.4,0.5,0.1,1,136,547,38,0.18862690707350901,0.7586685159500693,0.052704576976421634
Germany,2021-01,2,9,0,0.18181818181818182,0.8181818181818182,0,2,191,678,90,0.1991657977059437,0.7069864442127216,0.09384775808133472
Germany,2021-02,8,41,5,0.14814814814814814,0.7592592592592593,0.09259259259259259,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Germany,2021-03,11,73,8,0.11956521739130435,0.7934782608695652,0.08695652173913043,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Germany,2021-04,11,71,4,0.12790697674418605,0.8255813953488372,0.046511627906976744,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Germany,2021-05,11,41,3,0.2,0.7454545454545455,0.05454545454545454,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Germany,2021-06,11,53,2,0.16666666666666666,0.803030303030303,0.030303030303030304,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Germany,2021-07,7,32,1,0.175,0.8,0.025,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Germany,2021-08,5,45,5,0.09090909090909091,0.8181818181818182,0.09090909090909091,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Germany,2021-09,10,12,0,0.45454545454545453,0.5454545454545454,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Germany,2021-10,5,17,4,0.19230769230769232,0.6538461538461539,0.15384615384615385,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Germany,2021-11,4,13,1,0.2222222222222222,0.7222222222222222,0.05555555555555555,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Ghana,2021-02,2,3,1,0.3333333333333333,0.5,0.16666666666666666,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Ghana,2021-03,5,7,0,0.4166666666666667,0.5833333333333334,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Ghana,2021-04,0,1,0,0,1,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Ghana,2021-05,0,4,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Ghana,2021-06,0,2,2,0,0.5,0.5,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Ghana,2021-07,1,4,0,0.2,0.8,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Ghana,2021-08,0,13,4,0,0.7647058823529411,0.23529411764705882,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Ghana,2021-09,0,3,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Ghana,2021-10,0,2,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Ghana,2021-11,0,2,0,0,1,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Gibraltar,2021-01,1,1,0,0.5,0.5,0,2,191,678,90,0.1991657977059437,0.7069864442127216,0.09384775808133472
Gibraltar,2021-03,1,0,1,0.5,0,0.5,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Gibraltar,2021-04,0,1,0,0,1,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Gibraltar,2021-05,1,2,0,0.3333333333333333,0.6666666666666666,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Gibraltar,2021-06,0,3,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Gibraltar,2021-09,0,1,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Gibraltar,2021-10,0,1,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Greece,2020-12,0,1,0,0,1,0,1,136,547,38,0.18862690707350901,0.7586685159500693,0.052704576976421634
Greece,2021-01,0,1,0,0,1,0,2,191,678,90,0.1991657977059437,0.7069864442127216,0.09384775808133472
Greece,2021-02,0,6,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Greece,2021-03,3,11,0,0.21428571428571427,0.7857142857142857,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Greece,2021-04,2,10,1,0.15384615384615385,0.7692307692307693,0.07692307692307693,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Greece,2021-05,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Greece,2021-06,3,6,0,0.3333333333333333,0.6666666666666666,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Greece,2021-07,0,1,0,0,1,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Greece,2021-08,1,1,2,0.25,0.25,0.5,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Greece,2021-09,1,2,0,0.3333333333333333,0.6666666666666666,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Greece,2021-10,0,1,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Greece,2021-11,0,2,0,0,1,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Greenland,2021-07,0,1,0,0,1,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Guatemala,2021-02,0,1,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Guatemala,2021-03,0,1,0,0,1,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Guatemala,2021-05,0,1,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Guatemala,2021-07,1,0,0,1,0,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Guatemala,2021-08,1,2,0,0.3333333333333333,0.6666666666666666,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Guatemala,2021-09,0,1,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
